{'queryset/testMaterial/imagesgravel7.jpeg': 0, 'queryset/testMaterial/indexgravel3.jpeg': 0, 'queryset/testMaterial/gravelTest2.jpeg': 0, 'queryset/testMaterial/indexgravel4.jpeg': 0, 'queryset/testMaterial/indexgravel5.jpeg': 0, 'queryset/testMaterial/indexgravel.jpeg': 0, 'queryset/testMaterial/imagesgravel9.jpeg': 0, 'queryset/testMaterial/imagesgravel8.jpeg': 0, 'queryset/testMaterial/indexgravel6.jpeg': 0, 'queryset/testMaterial/imagesgravel12.jpeg': 0, 'queryset/testMaterial/indexgravel10.jpeg': 0, 'queryset/testMaterial/imagesgravel13.jpeg': 0, 'queryset/testMaterial/indexgravel11.jpeg': 0, 'queryset/testMaterial/gravelTest111.jpeg': 0, 'queryset/testMaterial/indexgravel2.jpeg': 0}
[3, 8]
Displaying scores for queryset/testMaterial/imagesgravel7.jpeg ** 

trainset/gravel/gravel126.jpeg has score 6.146
trainset/gravel/gravel112.jpeg has score 6.179
trainset/gravel/gravel116.jpeg has score 6.197
trainset/sand/sand3.jpeg has score 6.401
trainset/gravel/gravel136.jpeg has score 6.401
trainset/gravel/gravel125.jpeg has score 6.851
trainset/gravel/gravel123.jpeg has score 7.004
trainset/gravel/gravel122.jpeg has score 7.008
trainset/gravel/gravel128.jpeg has score 7.89
trainset/gravel/gravel121.jpeg has score 7.905
trainset/gravel/gravel127.jpeg has score 8.539
trainset/gravel/gravel120.jpeg has score 9.401
Displaying scores for queryset/testMaterial/indexgravel5.jpeg ** 

trainset/sand/sand5.jpeg has score 0.73
trainset/sand/sand2.jpeg has score 0.73
trainset/mixture/mixture5.jpeg has score 1.726
trainset/sand/sand4.jpeg has score 1.771
trainset/sand/sand114.jpeg has score 1.88
trainset/sand/sand126.jpeg has score 1.912
trainset/mixture/mixture6.jpeg has score 2.053
trainset/mixture/mixture7.jpeg has score 2.089
trainset/mixture/mixture2.jpeg has score 2.225
trainset/sand/sand124.jpeg has score 2.286
trainset/sand/sand121.jpeg has score 2.346
trainset/mixture/mixture1.jpeg has score 2.456
trainset/sand/sand122.jpeg has score 2.721
trainset/mixture/mixture10.jpeg has score 2.763
trainset/gravel/gravel114.jpeg has score 2.932
trainset/sand/sand123.jpeg has score 3.084
